property,description
music.avatar_thumb.width,-unknown-
music.binded_challenge_id,-unknown-
music.can_not_reuse,-unknown-
music.collect_stat,-unknown-
music.commercial_right_type,-unknown-
music.cover_large.height,-unknown-
music.cover_large.uri,-unknown-
music.cover_large.width,-unknown-
music.cover_medium.height,-unknown-
music.cover_medium.uri,-unknown-
music.cover_medium.width,-unknown-
music.cover_thumb.height,-unknown-
music.cover_thumb.uri,-unknown-
music.cover_thumb.width,-unknown-
music.dmv_auto_show,-unknown-
music.duration,Length in seconds
music.duration_high_precision.audition_duration_precision,-unknown-
music.duration_high_precision.duration_precision,-unknown-
music.duration_high_precision.shoot_duration_precision,-unknown-
music.duration_high_precision.video_duration_precision,-unknown-
music.external_song_info,-unknown-
music.extra,-unknown-
music.id,Music unique id 
music.id_str,-unknown-
music.is_audio_url_with_cookie,-unknown-
music.is_author_artist,-unknown-
music.is_commerce_music,-unknown-
music.is_matched_metadata,-unknown-
music.is_original,-unknown-
music.is_original_sound,-unknown-
music.is_pgc,-unknown-
music.is_play_music,-unknown-
music.is_shooting_allow,-unknown-
music.lyric_short_position,-unknown-
music.matched_pgc_sound.author,-unknown-
music.matched_pgc_sound.mixed_author,-unknown-
music.matched_pgc_sound.mixed_title,-unknown-
music.matched_pgc_sound.music_release_info.group_release_date,-unknown-
music.matched_pgc_sound.music_release_info.is_new_release_song,-unknown-
music.matched_pgc_sound.title,-unknown-
music.matched_song.author,-unknown-
music.matched_song.chorus_info.duration_ms,-unknown-
music.matched_song.chorus_info.start_ms,-unknown-
music.matched_song.cover_medium.height,-unknown-
music.matched_song.cover_medium.uri,-unknown-
music.matched_song.cover_medium.width,-unknown-
music.matched_song.h5_url,-unknown-
music.matched_song.id,-unknown-
music.matched_song.performers,-unknown-
music.matched_song.title,-unknown-
music.mid,-unknown-
music.multi_bit_rate_play_info,-unknown-
music.music_release_info.group_release_date,-unknown-
music.music_release_info.is_new_release_song,-unknown-
music.mute_share,-unknown-
music.offline_desc,-unknown-
music.owner_handle,-unknown-
music.owner_id,-unknown-
music.owner_nickname,-unknown-
music.play_url.height,-unknown-
music.play_url.uri,-unknown-
music.play_url.width,-unknown-
music.position,-unknown-
music.prevent_download,-unknown-
music.preview_end_time,-unknown-
music.preview_start_time,-unknown-
music.recommend_status,-unknown-
music.search_highlight,-unknown-
music.sec_uid,-unknown-
music.shoot_duration,-unknown-
music.source_platform,-unknown-
music.status,-unknown-
music.strong_beat_url.height,-unknown-
music.strong_beat_url.uri,-unknown-
music.strong_beat_url.width,-unknown-
music.tag_list,-unknown-
music.title,-unknown-
music.tt_to_dsp_song_infos,-unknown-
music.user_count,Number of users using music
music.video_duration,-unknown-
need_trim_step,-unknown-
need_vs_entry,-unknown-
nickname_position,-unknown-
no_selected_music,-unknown-
origin_comment_ids,-unknown-
origin_volume,-unknown-
original_client_text.markup_text,-unknown-
original_client_text.text_extra,-unknown-
playlist_blocked,-unknown-
playlist_info.index,-unknown-
playlist_info.is_default_name,-unknown-
playlist_info.item_total,-unknown-
playlist_info.mix_id,-unknown-
playlist_info.name,-unknown-
poi_data.address_info.city_code,-unknown-
poi_data.address_info.city_name,-unknown-
poi_data.address_info.lat,-unknown-
poi_data.address_info.lng,-unknown-
poi_data.address_info.region_code,-unknown-
poi_data.collect_info,-unknown-
poi_data.comment_anchor.has_sub_arrow,-unknown-
poi_data.comment_anchor.sub_tag_exp_time,-unknown-
poi_data.comment_anchor.sub_tag_exp_type,-unknown-
poi_data.comment_anchor.sub_tags.name,-unknown-
poi_data.comment_anchor.sub_tags.priority,-unknown-
poi_data.comment_anchor.suffix,-unknown-
poi_data.comment_anchor.track_info,-unknown-
poi_data.info_source,-unknown-
poi_data.poi_id,-unknown-
poi_data.poi_mapkit_collect,-unknown-
poi_data.poi_name,-unknown-
poi_data.poi_type,-unknown-
poi_data.video_anchor.has_sub_arrow,-unknown-
poi_data.video_anchor.sub_tag_exp_time,-unknown-
poi_data.video_anchor.sub_tag_exp_type,-unknown-
poi_data.video_anchor.sub_tags,-unknown-
poi_data.video_anchor.suffix,-unknown-
poi_data.video_anchor.track_info,-unknown-
poi_data.video_count,-unknown-
poi_re_tag_signal,-unknown-
position,-unknown-
prevent_download,-unknown-
products_info,-unknown-
promote_toast,-unknown-
promote_toast_key,-unknown-
question_list,-unknown-
reference_tts_voice_ids,-unknown-
reference_voice_filter_ids,-unknown-
region,-unknown-
retry_type,-unknown-
risk_infos.content,-unknown-
risk_infos.notice,-unknown-
risk_infos.risk_sink,-unknown-
risk_infos.url,-unknown-
risk_infos.vote,-unknown-
risk_infos.warn,-unknown-
search_highlight,-unknown-
share_info.bool_persist,-unknown-
share_info.now_invitation_card_image_urls,-unknown-
share_info.share_desc,-unknown-
share_info.share_desc_info,-unknown-
share_info.share_link_desc,-unknown-
share_info.share_quote,-unknown-
share_info.share_signature_desc,-unknown-
share_info.share_signature_url,-unknown-
share_info.share_title,-unknown-
share_info.share_title_myself,-unknown-
share_info.share_title_other,-unknown-
share_info.share_url,-unknown-
share_info.whatsapp_desc,-unknown-
share_url,-unknown-
sort_label,-unknown-
special_mode,-unknown-
statistics.aweme_id,-unknown-
statistics.collect_count,-unknown-
statistics.comment_count,-unknown-
statistics.digg_count,-unknown-
statistics.download_count,Number of times the video has been downloaded
statistics.forward_count,Number of times the video has been forwarded
statistics.lose_comment_count,-unknown-
statistics.lose_count,-unknown-
statistics.play_count,Number of times the video has been played back
statistics.share_count,Number of times the video has been shared overall
statistics.whatsapp_share_count,Number of times video has been shared via WhatsApp
status.allow_comment,-unknown-
status.allow_share,-unknown-
status.aweme_id,-unknown-
status.download_status,-unknown-
status.in_reviewing,-unknown-
status.is_delete,Whether video has been deleted
status.is_prohibited,-unknown-
status.private_status,-unknown-
status.review_result.review_status,-unknown-
status.reviewed,-unknown-
status.self_see,-unknown-
status.video_mute.audio_change_status,-unknown-
status.video_mute.is_copyright_violation,-unknown-
status.video_mute.is_mute,-unknown-
status.video_mute.mute_desc,-unknown-
status.video_mute.mute_detail_notice_bottom,-unknown-
sticker_detail.attributions,-unknown-
sticker_detail.children,-unknown-
sticker_detail.icon_url.height,-unknown-
sticker_detail.icon_url.uri,-unknown-
sticker_detail.icon_url.width,-unknown-
sticker_detail.id,-unknown-
sticker_detail.linked_anchors,-unknown-
sticker_detail.name,-unknown-
sticker_detail.owner_id,-unknown-
sticker_detail.sec_uid,-unknown-
sticker_detail.tags,-unknown-
suggest_words.suggest_words.hint_text,-unknown-
suggest_words.suggest_words.qrec_virtual_enable,-unknown-
suggest_words.suggest_words.scene,-unknown-
suggest_words.suggest_words.words.word,-unknown-
suggest_words.suggest_words.words.word_id,-unknown-
support_danmaku,Supports danmaku-style comments
text_extra.aweme_id,-unknown-
text_extra.end,-unknown-
text_extra.hashtag_id,-unknown-
text_extra.hashtag_name,Hashtag text
text_extra.is_commerce,-unknown-
text_extra.sec_uid,-unknown-
text_extra.start,-unknown-
text_extra.sub_type,-unknown-
text_extra.user_id,-unknown-
text_sticker_major_lang,-unknown-
tts_voice_ids,-unknown-
uniqid_position,-unknown-
upvote_preload.need_pull_upvote_info,-unknown-
user_digged,-unknown-
video_control.allow_download,Download permission
video_control.allow_duet,Duet permission
video_control.allow_dynamic_wallpaper,-unknown-
video_control.allow_music,-unknown-
video_control.allow_react,-unknown-
video_control.allow_stitch,Stitch permission
video_control.draft_progress_bar,-unknown-
video_control.prevent_download_type,-unknown-
video_control.share_type,-unknown-
video_control.show_progress_bar,-unknown-
video_control.timer_status,-unknown-
video_labels,-unknown-
video_reply_info.alias_comment_id,-unknown-
video_reply_info.aweme_id,-unknown-
video_reply_info.collect_stat,-unknown-
video_reply_info.comment_id,-unknown-
video_reply_info.comment_msg,-unknown-
video_reply_info.comment_user_id,-unknown-
video_reply_info.user_avatar.height,-unknown-
video_reply_info.user_avatar.uri,-unknown-
video_reply_info.user_avatar.url_list,-unknown-
video_reply_info.user_avatar.width,-unknown-
video_reply_info.user_name,-unknown-
video_text,-unknown-
video.ai_dynamic_cover_bak.height,-unknown-
video.ai_dynamic_cover_bak.uri,-unknown-
video.ai_dynamic_cover_bak.width,-unknown-
video.ai_dynamic_cover.height,-unknown-
video.ai_dynamic_cover.uri,-unknown-
video.ai_dynamic_cover.width,-unknown-
video.animated_cover.uri,-unknown-
video.big_thumbs,-unknown-
video.bit_rate_audio,-unknown-
video.bit_rate.bit_rate,Bitrate
video.bit_rate.dub_infos,-unknown-
video.bit_rate.gear_name,-unknown-
video.bit_rate.HDR_bit,-unknown-
video.bit_rate.HDR_type,-unknown-
video.bit_rate.is_bytevc1,-unknown-
video.bit_rate.play_addr.data_size,-unknown-
